car_name,car_details_url,car_price,car_mileage,car_registration_model,car_emission_class,car_body_type,car_seating_capacity,car_engine_type,car_fuel_type,car_images
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202309021487002?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£4,450","170,000 miles (Above Average: 67,403 miles )",2009 (59 reg),Euro 4,MPV,7,1.9L,Diesel,"https://m.atcdn.co.uk/a/media/w768/4c619544229d4f86935ee44f33093111.jpg, https://m.atcdn.co.uk/a/media/w768/b75ecbf5fd7148f988e100c9b4eb0002.jpg, https://m.atcdn.co.uk/a/media/w768/4285f326d382436e84ba8c53f170adb3.jpg, https://m.atcdn.co.uk/a/media/w768/d6bd91096f724e658fd37eaf24009c58.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202304126217911?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£11,990","46,000 miles (Above Average: 13,634 miles )",2015 (65 reg),Euro 5,MPV,5,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/ed57409e16884272b245bc29f3a6a157.jpg, https://m.atcdn.co.uk/a/media/w768/50745e9aea0b4a00bc8c1ef16ab39eda.jpg, https://m.atcdn.co.uk/a/media/w768/4bd7c9a84c75494cb9551d091be44813.jpg, https://m.atcdn.co.uk/a/media/w768/13414ccf283a42babc4a64fd347b6ca5.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202306309107997?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£9,990","91,000 miles (Above Average: 15,579 miles )",2013 (13 reg),Euro 5,MPV,7,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/528c4073b0df4c9a8e668cd44c4fdbf2.jpg, https://m.atcdn.co.uk/a/media/w768/c6ad4c841d45420d8a5fd17802b79df9.jpg, https://m.atcdn.co.uk/a/media/w768/053bcad4753b40feab31710522df5adf.jpg, https://m.atcdn.co.uk/a/media/w768/545b59c896f948da9783aa68f63b83da.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202303215460285?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£9,495","18,890 miles (Above Average: 73,664 miles )",2010 (11 reg),Euro 4,MPV,3,1.9L,Diesel,"https://m.atcdn.co.uk/a/media/w768/5470b19634184ccfb8ca36962232673a.jpg, https://m.atcdn.co.uk/a/media/w768/2f6971f9af2f4533b2a1efacf594303f.jpg, https://m.atcdn.co.uk/a/media/w768/5c40272078c44382900eaf6374f6a9df.jpg, https://m.atcdn.co.uk/a/media/w768/ec5afcb1182e485187ffd1788c1fe29c.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202302204462193?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£12,999","73,100 miles (Above Average: 8,264 miles )",2014 (64 reg),Euro 5,MPV,5,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/10f54c19935c4574abd1079c6d8e081b.jpg, https://m.atcdn.co.uk/a/media/w768/c5d28bbef7b54e148e70cc7a0654c55b.jpg, https://m.atcdn.co.uk/a/media/w768/ab42a00f8b7a406a8ba8db1d0baf0913.jpg, https://m.atcdn.co.uk/a/media/w768/44ddb3ff7b414bce857b5b45f2bc3a9c.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202304266694812?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£15,990","42,000 miles (Above Average: 1,827 miles )",2018 (67 reg),Euro 6,MPV,5,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/ace0025c8cb842b99efd7119f6596969.jpg, https://m.atcdn.co.uk/a/media/w768/202510faca3a4a2c8b621ed86e0196a1.jpg, https://m.atcdn.co.uk/a/media/w768/2483d0c4d05b476ab6d515db5af8fc74.jpg, https://m.atcdn.co.uk/a/media/w768/198ac36f9b6c435a8d3dac12c5afed8e.jpg"
Volkswagen Caddy Maxi,https://www.autotrader.co.uk/car-details/202302224532889?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£16,999","41,985 miles (Above Average: 3,529 miles )",2017 (17 reg),Euro 6,MPV,5,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/fbf44096bd684d31a35b519b44243b54.jpg, https://m.atcdn.co.uk/a/media/w768/4c08c2ee31f14042ab3664549afd802f.jpg, https://m.atcdn.co.uk/a/media/w768/b2005e2a50a94b6db87ddda6cfbb1cbe.jpg, https://m.atcdn.co.uk/a/media/w768/bc057686d4464b95b45eed6344e7b9ef.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202308160870836?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£7,988","99,000 miles (Above Average: 16,931 miles )",2012 (12 reg),Euro 5,MPV,7,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/0fbb78427fa34d9da6b282b20b27898c.jpg, https://m.atcdn.co.uk/a/media/w768/e222f5886593441ab0ac2cab354a7b52.jpg, https://m.atcdn.co.uk/a/media/w768/fdc2ddb597ff43698e5100662dd5a527.jpg, https://m.atcdn.co.uk/a/media/w768/1dc771cfdd324f6a895effbc224c0198.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202308140767060?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£17,495","46,000 miles (Above Average: 6,745 miles )",2016 (16 reg),Euro 6,MPV,7,2.0L,Diesel,"https://m.atcdn.co.uk/a/media/w768/ebf837e6c9384319b97d03335c9c8adf.jpg, https://m.atcdn.co.uk/a/media/w768/0ca084841a334c90b192b0a80b311a11.jpg, https://m.atcdn.co.uk/a/media/w768/73cc8bc4b20e4c87be436b48c09f4045.jpg, https://m.atcdn.co.uk/a/media/w768/9480db7985e6471cb01bc08940643bb4.jpg"
Volkswagen Caddy Maxi Life,https://www.autotrader.co.uk/car-details/202309162052033?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=Volkswagen&model=Caddy%20Maxi%20Life&page=1&postcode=SW1W%200NY&fromsra,"£7,988","184,000 miles (Above Average: 114,464 miles )",2014 (14 reg),Euro 5,MPV,7,1.6L,Diesel,"https://m.atcdn.co.uk/a/media/w768/f5c7b670e07a43f2a2321e69570af351.jpg, https://m.atcdn.co.uk/a/media/w768/473f9bb917004a159a7e18a6498098cc.jpg, https://m.atcdn.co.uk/a/media/w768/dd7420c36959404e9d840567d86c7057.jpg, https://m.atcdn.co.uk/a/media/w768/a56e8430245340bca4aeae59ff83c734.jpg"
